,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,quality,outlier_check
320,0.66,0.39,3.2,0.083,21.0,59.0,3.37,0.71,11.5,7,0
321,0.61,0.26,3.4,0.09,25.0,87.0,3.24,0.62,9.7,5,0
322,0.62,0.05,2.3,0.079,6.0,18.0,3.29,0.63,9.3,5,0
323,0.59,0.42,2.8,0.09,35.0,73.0,3.28,0.7,9.5,6,0
324,0.49,0.2,11.0,0.071,13.0,50.0,3.16,0.69,9.2,6,1
325,0.49,0.2,11.0,0.071,13.0,50.0,3.16,0.69,9.2,6,1
326,0.53,0.66,3.65,0.121,6.0,14.0,3.05,0.74,11.5,7,1
327,0.44,0.5,4.5,0.107,5.0,13.0,3.28,0.83,11.5,5,1
328,0.27,0.62,2.6,0.08199999999999999,6.0,21.0,3.16,0.67,9.7,6,0
329,0.46,0.39,2.0,0.061,7.0,15.0,3.18,0.62,9.5,5,0
330,0.36,0.64,2.9,0.122,10.0,41.0,3.23,0.66,12.5,6,1
331,0.36,0.64,2.9,0.122,10.0,41.0,3.23,0.66,12.5,6,1
332,0.58,0.28,3.2,0.066,21.0,114.0,3.22,0.54,9.4,6,0
333,0.56,0.08,2.1,0.105,16.0,44.0,3.13,0.52,11.0,5,0
334,0.65,0.01,2.5,0.078,17.0,38.0,3.34,0.74,11.7,7,0
335,0.695,0.53,3.4,0.128,7.0,21.0,3.17,0.84,12.2,7,1
336,0.43,0.45,1.9,0.052000000000000005,6.0,16.0,3.35,0.7,12.5,6,0
337,0.43,0.32,2.8,0.08,29.0,58.0,3.31,0.64,10.3,5,0
338,0.49,0.58,3.0,0.10300000000000001,28.0,99.0,3.16,1.0,11.5,6,0
339,0.28,0.54,2.3,0.08199999999999999,12.0,29.0,3.11,1.36,9.8,7,1
340,0.34,0.5,2.4,0.066,10.0,21.0,3.12,1.18,9.2,6,1
341,0.42,0.48,2.7,0.065,5.0,18.0,3.21,0.87,11.3,6,0
342,0.39,0.47,1.8,0.11800000000000001,6.0,14.0,3.3,0.75,9.8,6,0
343,0.39,0.47,1.8,0.11800000000000001,6.0,14.0,3.3,0.75,9.8,6,0
344,0.57,0.5,2.6,0.08199999999999999,6.0,32.0,3.12,0.78,10.7,6,0
345,0.685,0.0,1.9,0.067,40.0,63.0,3.6,0.81,9.9,5,0
346,0.815,0.02,2.7,0.07200000000000001,17.0,34.0,3.58,0.89,12.3,7,0
347,0.49,0.67,3.0,0.09300000000000001,6.0,15.0,3.02,0.93,12.0,6,0
348,0.56,0.31,2.8,0.08900000000000001,15.0,46.0,3.11,0.92,10.0,6,0
349,0.785,0.0,2.6,0.09300000000000001,11.0,28.0,3.36,0.86,9.4,6,0
350,0.67,0.22,2.7,0.107,17.0,34.0,3.28,0.98,9.9,6,0
351,0.795,0.0,2.6,0.096,11.0,26.0,3.35,0.83,9.4,6,0
352,0.665,0.0,2.4,0.09,8.0,19.0,3.27,0.73,9.3,5,0
353,0.53,0.79,4.8,0.12,23.0,77.0,3.18,0.77,13.0,5,1
354,0.21,0.4,1.4,0.066,40.5,165.0,3.25,0.59,11.9,6,1
355,0.75,0.01,2.4,0.078,17.0,32.0,3.55,0.61,12.8,6,0
356,0.41,0.52,3.0,0.08,29.0,55.0,3.26,0.88,11.0,5,0
357,0.42,0.66,2.95,0.11599999999999999,12.0,29.0,3.24,0.75,11.7,7,0
358,0.43,0.66,3.1,0.109,10.0,23.0,3.15,0.85,10.4,7,0
359,0.38,0.66,2.6,0.08800000000000001,10.0,41.0,3.17,0.68,9.8,6,0
360,0.7,0.23,2.0,0.099,14.0,81.0,3.19,0.7,9.4,5,0
361,0.45,0.31,2.6,0.086,21.0,50.0,3.37,0.91,9.9,6,0
362,0.58,0.66,2.5,0.07200000000000001,6.0,37.0,3.05,0.56,10.0,5,0
363,0.46,0.63,2.0,0.071,6.0,15.0,2.99,0.87,10.2,5,0
364,0.615,0.66,5.8,0.083,7.0,42.0,3.07,0.73,10.0,7,1
365,0.42,0.5,3.4,0.107,7.0,21.0,3.26,0.93,11.8,6,0
366,0.615,0.66,5.8,0.083,7.0,42.0,3.07,0.73,10.0,7,1
367,0.575,0.61,2.6,0.076,11.0,24.0,3.16,0.69,9.0,5,0
368,0.34,0.52,2.8,0.159,15.0,75.0,3.18,0.64,9.4,5,1
369,0.27,0.53,2.4,0.07400000000000001,6.0,18.0,3.2,1.13,12.0,7,1
370,0.765,0.02,2.3,0.063,35.0,63.0,3.57,0.78,9.9,5,0
371,0.24,0.4,1.6,0.055999999999999994,11.0,25.0,3.32,0.87,8.7,6,0
372,0.28,0.48,1.8,0.067,26.0,46.0,3.32,1.04,10.6,6,1
373,0.55,0.22,2.2,0.106,12.0,72.0,3.05,0.63,9.2,5,0
374,0.41,0.63,3.8,0.08900000000000001,6.0,47.0,3.01,0.81,10.8,6,1
375,0.54,0.71,4.4,0.124,6.0,15.0,3.01,0.83,11.8,7,2
376,0.45,0.5,3.0,0.078,19.0,47.0,3.26,1.11,11.0,6,1
377,0.27,0.53,2.4,0.07400000000000001,6.0,18.0,3.2,1.13,12.0,7,1
378,0.625,0.66,6.2,0.08800000000000001,6.0,24.0,3.11,0.99,13.3,6,1
379,0.42,0.38,2.5,0.094,24.0,60.0,3.31,0.7,10.8,6,0
380,0.26,0.42,2.0,0.08,11.0,27.0,3.21,0.8,9.4,6,0
381,0.415,0.68,2.9,0.085,17.0,43.0,3.06,0.8,10.0,6,0
382,0.26,0.42,2.0,0.08,11.0,27.0,3.21,0.8,9.4,6,0
383,0.26,0.42,2.0,0.08,11.0,27.0,3.21,0.8,9.4,6,0
384,0.51,0.28,2.1,0.087,23.0,54.0,3.42,0.74,9.2,5,0
385,0.63,0.07,2.4,0.09,11.0,37.0,3.43,0.76,9.7,6,0
386,0.54,0.26,2.0,0.08800000000000001,23.0,48.0,3.41,0.74,9.2,6,0
387,0.66,0.15,1.9,0.079,17.0,42.0,3.31,0.54,9.6,6,0
388,0.46,0.26,1.9,0.08800000000000001,23.0,53.0,3.43,0.74,9.2,6,0
389,0.38,0.31,2.5,0.096,16.0,49.0,3.19,0.7,10.0,7,0
390,0.85,0.05,1.4,0.045,12.0,88.0,3.56,0.82,12.9,8,1
391,0.415,0.68,2.9,0.085,17.0,43.0,3.06,0.8,10.0,6,0
392,0.37,0.52,2.0,0.08199999999999999,6.0,26.0,3.18,0.51,9.5,5,0
393,0.665,0.61,2.0,0.11199999999999999,13.0,95.0,3.16,0.54,9.1,5,0
394,0.6,0.65,2.3,0.063,6.0,25.0,3.03,0.57,9.9,5,0
395,0.37,0.76,4.2,0.066,7.0,38.0,3.22,0.6,13.0,7,1
396,0.735,0.02,7.9,0.122,68.0,124.0,3.47,0.53,9.9,5,4
397,0.59,0.59,2.6,0.087,13.0,49.0,3.18,0.65,11.0,6,0
398,0.59,0.59,2.6,0.087,13.0,49.0,3.18,0.65,11.0,6,0
399,0.765,0.22,2.3,0.064,9.0,42.0,3.1,0.55,9.4,5,0
400,0.735,0.02,7.9,0.122,68.0,124.0,3.47,0.53,9.9,5,4
401,0.26,0.3,1.7,0.059000000000000004,20.0,38.0,3.29,0.47,10.8,6,0
402,0.48,0.54,2.6,0.085,19.0,64.0,3.1,0.61,10.5,6,0
403,0.6,0.49,2.7,0.085,10.0,41.0,3.15,0.63,10.5,6,0
404,0.69,0.05,2.7,0.075,15.0,27.0,3.26,0.61,9.1,5,0
405,0.31,0.46,1.4,0.059000000000000004,11.0,25.0,3.36,0.76,10.1,6,0
406,0.44,0.47,2.5,0.063,9.0,28.0,3.24,0.65,10.8,6,0
407,0.39,0.66,3.0,0.09300000000000001,12.0,30.0,3.18,0.63,10.8,7,0
408,0.34,0.58,3.7,0.174,6.0,16.0,3.19,0.7,11.3,6,2
409,0.46,0.49,4.5,0.07,26.0,49.0,3.05,0.57,9.6,4,1
410,0.43,0.34,2.5,0.08,26.0,86.0,3.38,0.62,9.5,6,0
411,0.45,0.35,2.4,0.08,23.0,78.0,3.38,0.62,9.5,5,0
412,0.735,0.16,1.9,0.1,15.0,77.0,3.27,0.64,9.3,5,0
413,0.4,0.53,6.7,0.09699999999999999,6.0,19.0,3.27,0.82,11.7,7,1
414,0.52,0.34,2.7,0.087,24.0,122.0,3.26,0.61,9.5,5,0
415,0.725,0.24,6.6,0.11699999999999999,31.0,134.0,3.32,1.07,9.3,5,3
416,0.48,0.64,2.2,0.111,6.0,20.0,3.26,0.66,11.7,6,0
417,0.58,0.12,1.9,0.091,34.0,124.0,3.44,0.48,10.5,5,1
418,0.38,0.51,2.0,0.121,7.0,20.0,3.24,0.76,10.4,6,1
419,0.77,0.0,1.8,0.066,34.0,52.0,3.62,0.68,9.9,5,0
420,0.56,0.33,2.4,0.08900000000000001,35.0,67.0,3.28,0.73,11.8,7,0
421,0.84,0.03,2.3,0.059000000000000004,32.0,48.0,3.52,0.56,12.3,7,0
422,0.96,0.2,2.0,0.047,15.0,60.0,3.36,0.44,10.9,5,0
423,0.24,0.47,2.1,0.066,6.0,24.0,3.15,0.9,11.0,7,0
424,0.96,0.2,2.0,0.047,15.0,60.0,3.36,0.44,10.9,5,0
425,0.84,0.03,2.3,0.059000000000000004,32.0,48.0,3.52,0.56,12.3,7,0
426,0.67,0.08,2.1,0.045,19.0,48.0,3.49,0.49,11.4,6,0
427,0.78,0.22,1.9,0.077,6.0,32.0,3.26,0.56,10.6,6,0
428,0.52,0.33,1.3,0.07,9.0,30.0,3.24,0.6,9.3,5,0
429,0.84,0.63,2.4,0.08800000000000001,13.0,35.0,3.1,0.6,10.4,6,0
430,0.24,0.47,2.1,0.066,6.0,24.0,3.15,0.9,11.0,7,0
431,0.55,0.35,2.2,0.07400000000000001,21.0,66.0,3.25,0.56,9.2,5,0
432,0.37,0.69,2.3,0.078,12.0,24.0,3.0,0.65,12.8,6,0
433,0.39,0.63,2.3,0.091,6.0,18.0,3.16,0.49,9.5,5,0
434,0.41,0.55,3.2,0.076,22.0,54.0,3.15,0.89,9.9,6,0
435,0.39,0.63,2.3,0.091,6.0,18.0,3.16,0.49,9.5,5,0
436,0.67,0.3,2.0,0.06,38.0,62.0,3.26,0.56,10.2,6,0
437,0.45,0.73,3.2,0.066,6.0,22.0,3.17,0.66,11.2,6,0
438,0.41,0.55,3.2,0.076,22.0,54.0,3.15,0.89,9.9,6,0
439,0.62,0.18,1.5,0.062,7.0,50.0,3.08,0.6,9.3,5,0
440,0.31,0.72,2.2,0.07200000000000001,6.0,29.0,2.88,0.82,9.8,8,2
441,0.4,0.65,2.15,0.068,7.0,27.0,3.06,0.68,11.3,6,0
442,0.685,0.76,3.7,0.1,6.0,43.0,2.95,0.68,11.2,7,1
443,0.44,0.49,2.7,0.077,11.0,19.0,3.23,0.63,11.6,7,0
444,0.57,0.01,1.7,0.054000000000000006,5.0,27.0,3.57,0.84,12.5,7,0
445,0.735,0.1,2.1,0.079,6.0,31.0,3.23,0.56,10.1,6,0
446,0.38,0.6,2.6,0.081,31.0,72.0,3.1,0.73,10.5,5,0
447,0.48,0.29,2.1,0.127,6.0,16.0,3.22,0.72,11.2,5,1
448,0.53,0.22,2.0,0.1,7.0,27.0,3.2,0.56,10.2,6,0
449,0.39,0.69,2.8,0.095,17.0,35.0,3.1,0.61,10.8,6,0
450,0.39,0.69,2.8,0.095,17.0,35.0,3.1,0.61,10.8,6,0
451,0.37,0.53,1.8,0.413,9.0,26.0,3.06,1.06,9.1,6,2
452,0.56,0.03,1.7,0.084,18.0,35.0,3.44,0.63,10.0,6,0
453,0.33,0.63,2.8,0.084,5.0,22.0,3.26,0.74,11.2,7,0
454,0.23,0.4,1.6,0.063,21.0,67.0,3.5,0.63,11.1,5,0
455,0.62,0.67,5.2,0.086,6.0,19.0,3.22,0.69,13.4,8,2
456,0.59,0.39,2.3,0.095,5.0,22.0,3.37,0.58,10.3,5,0
457,0.63,0.21,2.7,0.09699999999999999,29.0,65.0,3.28,0.58,9.6,5,0
458,0.33,0.63,2.8,0.084,5.0,22.0,3.26,0.74,11.2,7,0
459,0.58,0.66,2.2,0.07400000000000001,10.0,47.0,3.25,0.57,9.0,3,1
460,0.43,0.52,2.3,0.083,14.0,23.0,3.35,0.61,11.3,6,0
461,0.615,0.22,2.6,0.087,6.0,19.0,3.26,0.61,9.3,5,0
462,0.26,0.68,2.55,0.085,10.0,25.0,3.18,0.61,11.8,5,0
463,0.66,0.7,2.2,0.098,25.0,129.0,3.08,0.53,9.0,5,1
464,0.315,0.54,2.1,0.084,5.0,15.0,2.98,0.7,9.2,6,0
465,0.29,0.4,2.9,0.098,10.0,26.0,3.48,0.91,9.7,5,0
466,0.5,0.42,2.0,0.069,21.0,51.0,3.16,0.72,11.5,6,0
467,0.46,0.45,2.6,0.065,7.0,18.0,3.32,0.79,14.0,6,1
468,0.36,0.69,2.1,0.09,6.0,21.0,3.17,0.62,9.2,6,0
469,0.82,0.02,1.2,0.07,36.0,48.0,3.2,0.58,9.8,5,0
470,0.32,0.65,2.6,0.09300000000000001,15.0,47.0,3.05,0.61,10.6,5,0
471,0.54,0.42,2.4,0.081,25.0,52.0,3.2,0.71,11.4,6,0
472,0.37,0.55,2.6,0.083,25.0,68.0,3.15,0.82,10.4,6,0
473,0.35,0.55,2.1,0.062,5.0,14.0,3.26,0.79,10.6,5,0
474,0.28,0.51,1.7,0.08,10.0,24.0,3.2,0.89,9.4,6,0
475,0.68,0.24,2.2,0.087,5.0,28.0,3.14,0.6,10.2,5,0
476,0.27,0.41,2.0,0.091,6.0,16.0,3.28,0.7,9.7,5,0
477,0.24,0.49,1.8,0.075,6.0,20.0,3.18,1.06,11.0,6,1
478,0.68,0.24,2.2,0.087,5.0,28.0,3.14,0.6,10.2,5,0
479,0.685,0.11,2.7,0.077,6.0,31.0,3.19,0.7,10.1,6,0
480,0.28,0.39,15.5,0.069,6.0,23.0,3.12,0.66,9.2,5,1
481,0.3,0.56,2.8,0.08,6.0,17.0,3.15,0.92,11.7,8,1
482,0.36,0.59,2.2,0.152,6.0,18.0,3.04,1.05,9.4,5,2
483,0.36,0.6,2.2,0.152,7.0,18.0,3.04,1.06,9.4,5,2
484,0.44,0.68,4.1,0.114,6.0,24.0,3.06,0.66,13.4,6,1
485,0.67,0.39,1.9,0.054000000000000006,6.0,17.0,3.17,0.47,10.0,5,0
486,0.67,0.39,1.9,0.054000000000000006,6.0,17.0,3.17,0.47,10.0,5,0
487,0.645,0.36,1.8,0.053,5.0,14.0,3.17,0.42,10.0,6,0
488,0.32,0.55,2.8,0.081,35.0,67.0,3.32,0.92,10.8,7,0
489,0.39,0.4,2.6,0.073,10.0,26.0,3.34,0.75,10.2,6,0
490,0.775,0.27,2.8,0.078,24.0,56.0,3.31,0.67,10.6,6,0
491,0.41,0.5,2.5,0.055,12.0,25.0,3.34,0.79,13.3,7,0
492,0.4,0.51,2.6,0.052000000000000005,13.0,27.0,3.32,0.9,13.4,7,0
493,0.69,0.31,3.0,0.086,23.0,81.0,3.48,0.74,11.6,6,0
494,0.39,0.23,8.3,0.051,28.0,91.0,3.44,0.55,12.1,6,1
495,0.35,0.53,2.6,0.07,5.0,16.0,3.15,0.65,11.0,8,1
496,0.52,0.25,1.9,0.081,14.0,38.0,3.43,0.65,9.0,6,0
497,0.34,0.32,2.5,0.09,43.0,113.0,3.32,0.79,11.1,5,1
498,0.35,0.53,2.6,0.07,5.0,16.0,3.15,0.65,11.0,8,1
499,0.69,0.31,3.0,0.086,23.0,81.0,3.48,0.74,11.6,6,0
500,0.52,0.25,1.9,0.081,14.0,38.0,3.43,0.65,9.0,6,0
501,0.44,0.73,6.55,0.07400000000000001,38.0,76.0,3.17,0.85,12.0,7,1
502,0.44,0.73,6.55,0.07400000000000001,38.0,76.0,3.17,0.85,12.0,7,1
503,0.26,0.47,1.9,0.078,6.0,24.0,3.18,1.04,10.9,7,1
504,0.24,0.42,1.8,0.077,6.0,22.0,3.21,1.05,10.8,7,1
505,0.49,0.63,2.9,0.07200000000000001,10.0,26.0,3.16,0.78,12.5,7,0
506,0.24,0.46,1.8,0.075,6.0,21.0,3.25,1.02,10.8,7,1
507,0.67,0.55,2.3,0.084,6.0,13.0,3.17,0.71,9.5,6,0
508,0.59,0.31,2.2,0.09,26.0,62.0,3.18,0.63,10.2,6,0
509,0.29,0.75,2.8,0.084,23.0,43.0,3.04,0.68,11.4,7,0
510,0.42,0.49,4.6,0.073,19.0,43.0,3.02,0.61,9.5,5,1
511,0.59,0.31,2.2,0.09,26.0,62.0,3.18,0.63,10.2,6,0
512,0.4,0.48,2.1,0.125,15.0,49.0,3.03,0.81,9.7,6,1
513,0.51,0.64,2.4,0.107,6.0,15.0,3.09,0.66,11.8,7,0
514,0.51,0.64,2.4,0.107,6.0,15.0,3.09,0.66,11.8,7,0
515,0.655,0.49,6.1,0.122,34.0,151.0,3.31,1.14,9.3,5,4
516,0.6,0.49,4.3,0.1,5.0,14.0,3.25,0.74,11.9,6,1
517,0.61,0.49,2.1,0.2,5.0,16.0,3.16,0.63,8.4,3,2
518,0.21,0.49,2.8,0.08800000000000001,11.0,32.0,3.22,0.68,11.7,6,0
519,0.365,0.49,2.5,0.08800000000000001,39.0,106.0,3.36,0.78,11.0,5,0
520,0.25,0.49,2.7,0.08800000000000001,15.0,33.0,3.42,0.9,10.0,6,0
521,0.41,0.49,2.0,0.08800000000000001,16.0,43.0,3.48,0.64,9.1,5,0
522,0.39,0.49,2.3,0.099,47.0,133.0,3.38,0.99,9.8,5,2
523,0.4,0.49,2.5,0.085,38.0,142.0,3.22,0.55,9.4,5,1
524,0.43,0.49,2.4,0.086,23.0,116.0,3.23,0.64,9.5,5,0
525,0.64,0.24,2.8,0.105,29.0,53.0,3.24,0.67,9.9,5,0
526,0.365,0.49,2.5,0.08800000000000001,39.0,106.0,3.36,0.78,11.0,5,0
527,0.38,0.49,2.5,0.09699999999999999,33.0,85.0,3.39,0.77,11.4,6,0
528,0.42,0.49,2.6,0.084,32.0,55.0,3.34,0.75,8.7,6,0
529,0.63,0.24,2.4,0.077,6.0,33.0,3.09,0.57,9.4,5,0
530,0.22,0.24,2.1,0.078,1.0,28.0,3.41,0.87,10.3,6,0
531,0.38,0.49,2.7,0.098,12.0,42.0,3.16,0.61,10.3,5,0
532,0.38,0.49,2.7,0.098,12.0,42.0,3.16,0.61,10.3,5,0
533,0.27,0.24,2.1,0.07200000000000001,15.0,33.0,3.22,0.66,12.8,6,0
534,0.48,0.24,2.7,0.102,13.0,32.0,3.28,0.56,10.0,6,0
535,0.22,0.24,2.1,0.078,1.0,28.0,3.41,0.87,10.3,6,0
536,0.63,0.24,2.4,0.077,6.0,33.0,3.09,0.57,9.4,5,0
537,0.825,0.24,2.1,0.084,5.0,13.0,3.37,0.77,10.7,6,0
538,0.35,0.49,5.8,0.066,5.0,35.0,3.2,0.66,12.0,7,1
539,0.5,0.74,5.15,0.1,5.0,17.0,3.22,0.62,11.2,5,1
540,0.59,0.24,3.3,0.10099999999999999,20.0,47.0,3.26,0.67,9.6,5,0
541,0.46,0.49,6.3,0.064,5.0,17.0,3.21,0.73,11.0,6,1
542,0.715,0.24,2.1,0.07,5.0,20.0,3.12,0.59,9.9,5,0
543,0.66,0.24,2.5,0.085,16.0,53.0,3.06,0.72,11.0,6,0
544,0.31,0.74,1.8,0.075,6.0,15.0,2.86,0.79,8.4,6,1
545,0.47,0.49,2.6,0.094,38.0,106.0,3.08,0.59,9.1,5,0
546,0.55,0.24,2.0,0.078,10.0,28.0,3.45,0.78,9.5,6,0
547,0.31,0.49,2.5,0.067,6.0,21.0,3.26,0.86,10.7,6,0
548,0.35,0.49,2.6,0.079,27.0,69.0,3.12,0.75,10.4,6,0
549,0.53,0.49,1.9,0.171,6.0,25.0,3.27,0.61,9.4,6,1
550,0.51,0.01,2.1,0.07400000000000001,9.0,25.0,3.33,0.56,9.5,6,0
551,0.43,0.24,2.8,0.092,14.0,45.0,3.19,0.73,10.0,6,0
552,0.46,0.24,2.7,0.092,14.0,44.0,3.12,0.74,10.0,6,0
553,1.04,0.24,1.6,0.05,32.0,96.0,3.74,0.62,11.5,5,2
554,0.645,0.49,4.2,0.095,10.0,23.0,2.92,0.74,11.1,5,1
555,0.645,0.49,4.2,0.095,10.0,23.0,2.92,0.74,11.1,5,1
556,0.53,0.49,4.6,0.11800000000000001,10.0,17.0,3.07,0.56,11.7,6,1
557,0.645,0.49,4.2,0.095,10.0,23.0,2.92,0.74,11.1,5,1
558,0.53,0.49,4.6,0.11800000000000001,10.0,17.0,3.07,0.56,11.7,6,1
559,0.47,0.49,4.3,0.085,6.0,47.0,3.3,0.68,12.7,6,1
560,0.6,0.49,2.8,0.075,5.0,19.0,3.14,0.57,11.4,5,0
561,0.44,0.49,2.4,0.078,26.0,121.0,3.23,0.58,9.2,5,0
562,0.54,0.49,2.9,0.094,41.0,110.0,3.08,0.61,9.2,5,0
563,0.29,0.49,2.7,0.092,25.0,60.0,3.31,0.61,10.1,6,0
564,0.47,0.49,4.3,0.085,6.0,47.0,3.3,0.68,12.7,6,1
565,0.6,0.49,2.8,0.075,5.0,19.0,3.14,0.57,11.4,5,0
566,0.7,0.24,2.5,0.226,5.0,15.0,3.32,0.6,9.0,6,1
567,0.7,0.24,2.5,0.226,5.0,15.0,3.32,0.6,9.0,6,1
568,0.5,0.49,2.6,0.25,5.0,20.0,3.31,0.79,10.7,6,1
569,0.36,0.24,2.2,0.095,19.0,42.0,3.57,0.57,11.7,6,0
570,0.35,0.49,3.3,0.07,10.0,37.0,3.32,0.91,11.0,6,0
571,0.36,0.24,2.2,0.095,19.0,42.0,3.57,0.57,11.7,6,0
572,0.24,0.49,2.4,0.075,10.0,28.0,3.14,0.61,10.4,5,0
573,0.59,0.49,2.1,0.07,14.0,47.0,3.3,0.56,9.6,4,0
574,0.34,0.49,3.2,0.078,20.0,78.0,3.19,0.7,10.0,6,0
575,0.27,0.49,3.1,0.079,28.0,46.0,3.2,0.8,10.2,6,0
576,0.5,0.24,2.3,0.10300000000000001,6.0,14.0,3.34,0.52,10.0,4,0
577,0.44,0.49,2.8,0.083,18.0,111.0,3.3,0.6,9.5,5,0
578,0.47,0.49,2.9,0.085,17.0,110.0,3.29,0.6,9.8,5,0
579,0.31,0.49,2.2,0.063,18.0,40.0,3.14,0.51,9.8,6,0
580,0.5,0.49,2.2,0.08900000000000001,5.0,14.0,3.19,0.44,9.6,5,0
581,0.5,0.49,2.2,0.08900000000000001,5.0,14.0,3.19,0.44,9.6,5,0
582,0.49,0.49,2.2,0.083,5.0,15.0,3.19,0.43,9.2,5,0
583,0.28,0.49,1.9,0.07400000000000001,10.0,21.0,2.98,0.66,9.9,7,0
584,0.33,0.49,3.4,0.09300000000000001,54.0,80.0,3.3,0.76,10.7,7,1
585,0.51,0.24,2.4,0.091,8.0,38.0,3.47,0.66,9.6,6,0
586,0.31,0.49,2.7,0.094,16.0,47.0,3.12,1.02,10.6,7,1
587,0.73,0.24,1.9,0.10800000000000001,18.0,102.0,3.26,0.59,9.3,5,0
588,0.42,0.24,2.0,0.06,19.0,50.0,3.72,0.74,14.0,8,3
589,0.29,0.49,2.6,0.059000000000000004,5.0,13.0,3.05,0.74,10.5,7,0
590,0.45,0.49,2.6,0.084,21.0,75.0,3.35,0.57,9.7,5,0
591,0.39,0.49,1.7,0.07,23.0,149.0,3.12,0.5,11.5,6,1
592,0.45,0.49,2.6,0.084,21.0,75.0,3.35,0.57,9.7,5,0
593,0.49,0.58,3.5,0.094,9.0,43.0,3.29,0.58,9.0,5,0
594,0.72,0.17,2.6,0.096,20.0,38.0,3.4,0.53,9.5,5,0
595,0.595,0.41,7.9,0.086,30.0,109.0,3.27,0.57,9.3,5,1
596,0.4,0.51,2.0,0.059000000000000004,6.0,24.0,3.04,0.6,9.3,6,0
597,0.58,0.58,1.9,0.071,5.0,18.0,3.09,0.63,10.0,6,0
598,0.585,0.18,2.1,0.078,5.0,30.0,3.2,0.48,9.8,6,0
599,0.59,0.45,2.3,0.08199999999999999,11.0,22.0,3.0,0.7,9.3,6,0
600,0.915,0.27,2.1,0.08800000000000001,7.0,23.0,3.26,0.47,10.0,4,0
601,0.46,0.52,2.2,0.071,12.0,35.0,3.1,0.56,9.0,6,0
602,0.835,0.0,2.6,0.081,6.0,14.0,3.3,0.52,9.3,5,0
603,0.46,0.52,2.2,0.071,12.0,35.0,3.1,0.56,9.0,6,0
604,0.58,0.13,2.9,0.096,14.0,63.0,3.17,0.62,9.1,6,0
605,0.6,0.13,2.6,0.085,6.0,24.0,3.31,0.59,9.2,6,0
606,0.41,0.48,4.6,0.07200000000000001,10.0,20.0,3.34,0.79,12.2,7,1
607,0.48,0.41,3.3,0.092,26.0,52.0,3.31,0.53,10.5,6,0
608,0.65,0.37,5.1,0.11,11.0,65.0,3.32,0.64,10.4,6,1
609,0.36,0.19,3.2,0.075,15.0,39.0,3.56,0.52,12.7,6,0
610,0.24,0.54,2.5,0.083,25.0,57.0,3.39,0.54,9.2,5,0
611,0.38,0.55,2.7,0.081,5.0,16.0,2.98,0.54,9.4,5,0
612,0.64,0.0,2.4,0.077,18.0,29.0,3.32,0.6,10.0,6,0
613,0.39,0.38,1.5,0.057999999999999996,10.0,29.0,3.26,0.74,9.8,5,0
614,0.755,0.18,2.2,0.14800000000000002,10.0,103.0,2.87,1.36,10.2,6,3
615,0.6,0.5,2.3,0.079,28.0,71.0,3.5,0.57,9.7,5,0
616,0.6,0.5,2.3,0.079,28.0,71.0,3.5,0.57,9.7,5,0
617,0.31,0.51,2.2,0.079,14.0,28.0,3.03,0.93,9.8,6,0
618,0.46,0.5,2.7,0.122,4.0,17.0,3.13,0.7,10.2,5,1
619,0.37,0.41,2.3,0.08800000000000001,6.0,16.0,3.09,0.8,9.3,5,0
620,0.54,0.24,3.4,0.076,16.0,112.0,3.27,0.61,9.4,5,0
621,0.56,0.23,3.4,0.078,14.0,104.0,3.28,0.62,9.4,5,0
622,0.58,0.22,1.9,0.08,9.0,32.0,3.13,0.55,9.5,5,0
623,0.51,0.25,2.9,0.077,21.0,45.0,3.49,0.96,12.1,6,0
624,0.69,0.0,5.6,0.124,21.0,58.0,3.46,0.72,10.2,5,2
625,0.69,0.0,5.6,0.124,21.0,58.0,3.46,0.72,10.2,5,2
626,0.6,0.29,2.2,0.098,5.0,15.0,3.36,0.49,9.1,5,0
627,0.6,0.29,2.2,0.098,5.0,15.0,3.36,0.49,9.1,5,0
628,0.54,0.26,2.5,0.09699999999999999,7.0,31.0,3.27,0.6,9.3,6,0
629,0.685,0.23,2.3,0.111,20.0,84.0,3.21,0.61,9.3,5,0
630,0.54,0.26,2.5,0.09699999999999999,7.0,31.0,3.27,0.6,9.3,6,0
631,0.28,0.54,2.7,0.105,5.0,19.0,3.25,0.63,9.5,5,0
632,0.41,0.14,3.0,0.087,21.0,43.0,3.32,0.57,10.5,6,0
633,0.935,0.22,3.4,0.105,11.0,86.0,3.43,0.64,11.3,4,0
634,0.35,0.21,1.9,0.073,46.0,102.0,3.27,0.58,9.5,5,1
635,0.84,0.0,1.4,0.065,24.0,33.0,3.27,0.55,9.7,5,0
636,0.88,0.28,2.4,0.086,30.0,147.0,3.24,0.53,9.4,5,1
637,0.885,0.27,2.3,0.084,31.0,145.0,3.24,0.53,9.4,5,1
638,0.915,0.12,2.2,0.14300000000000002,7.0,23.0,3.35,0.65,10.2,7,1
639,0.29,0.35,1.9,0.067,25.0,57.0,3.18,1.36,10.3,6,1
640,0.54,0.45,2.3,0.071,16.0,40.0,3.39,0.62,9.4,5,0
641,0.59,0.44,2.3,0.071,21.0,68.0,3.46,0.63,9.5,5,0
642,0.54,0.45,2.3,0.071,16.0,40.0,3.39,0.62,9.4,5,0
